companies;twitter_account;location;nb_of_followers;url;about
IBM;@IBM;'Armonk, New York, NY';5357608;https://www.linkedin.com/company/1009/about/;"""At IBM, work is more than a job - it's a calling: To build. To design. To code. To consult. To think along with clients and sell. To make markets. To invent. To collaborate. Not just to do something better, but to attempt things you've never thought possible. To lead in this new era of technology and solve some of the world's most challenging problems.\n \nIBM is a leading cloud platform and cognitive solutions company. Restlessly reinventing since 1911, we are the largest technology and consulting employer in the world, with more than 380,000 employees serving clients in 170 countries. With Watson, the AI platform for business, powered by data, we are building industry-based solutions to real-world problems. For more than seven decades, IBM Research has defined the future of information technology with more than 3,000 researchers in 12 labs located across six continents. For more information, visit www.ibm.com.\n \nThis is IBM's official LinkedIn account and it follows IBM Social Computing Guidelines. We reserve the right to delete comments that are offensive or suggestive, personal attacks, anonymous, wildly off-topic, spam or advertisements. For more information regarding IBM’s social computing guidelines, visit http://ibm.co/1LRDq6F"""
Microsoft;@Microsoft;'Redmond, WA';6676184;https://www.linkedin.com/company/1035/about/;'At Microsoft, our mission is to empower every person and every organization on the planet to achieve more. Our mission is grounded in both the world in which we live and the future we strive to create. Today, we live in a mobile-first, cloud-first world, and the transformation we are driving across our businesses is designed to enable Microsoft and our customers to thrive in this world. \n\nWe do business in 170 countries and are made up of 114,000 passionate employees dedicated to fulfilling our mission of helping you and your organization achieve more.'
Hewlett Packard Enterprise;@HPE;'Palo Alto, California';2778419;https://www.linkedin.com/company/1025/about/;'In 1939, Bill Hewlett and Dave Packard, college friends turned business partners, started the original Silicon Valley startup in the space of a rented Palo Alto garage. Starting with audio oscillators, the friends built the foundation for a company that would grow to become a global leader in enterprise technology.\n \nMore than 75 years later, our success is exemplified through our employees’ drive to advance ideas that bring meaningful innovations to life for our customers and partners around the globe. We are guided by our mission to help customers use technology to turn ideas into value, and empower them to transform industries, markets and lives. We simplify Hybrid IT, power the Intelligent Edge and provide the expertise to make it all happen.'
HP;@HP_France;'Palo Alto, CA';2961146;https://www.linkedin.com/company/5390798/about/;'Engineering experiences that amaze. We create technology with a purpose: to make life better for everyone, everywhere.  Keep Reinventing.'
Procter & Gamble;@ProcterGamble;'Cincinnati, Ohio';2750804;https://www.linkedin.com/company/1116/about/;"'P&G was founded over 180 years ago as a soap and candle company. Today, we’re the world’s largest consumer goods company and home to iconic, trusted brands, including Always®, Charmin®, Braun®, Fairy®, Febreze®, Gillette®, Head & Shoulders®, Oral B®, Pantene®, Pampers®, Tide®, and Vicks®. \n\nThe design, development, growth and success of these products—and many more—is thanks to the innovative and insightful minds of our people. From Day 1, you’ll help make everyday life easier for our 5 billion consumers through billion dollar brands. With our large global footprint, there are many opportunities to work with P&G in multiple locations. \n\nWe offer opportunities in approximately 70 countries and continually aim to attract, reward and advance the finest people in the world. As a ""build from within"" organization, we see 95% of our people start at an entry level and progress through the organization. Here, we want you to get your career off to a fast start. That\'s why we don\'t have any rotational development programs or gradual ramping-up periods: you’ll be able—and encouraged—to dive right in from day 1.\n\nJoin us and help make life better through meaningful work that makes an impact from Day 1.'"
Dell;@Dell;'Round Rock, Texas';1967551;https://www.linkedin.com/company/1093/about/;"""Dell is a part of the Dell Technologies family of brands.  Dell Technologies is a unique family of businesses that provides the essential infrastructure for organizations to build their digital future, transform IT and protect their most important asset: information. The company services customers of all sizes across 180 countries – ranging from 98 percent of the Fortune 500 to individual consumers – with the industry's most comprehensive and innovative portfolio from the edge to the core to the cloud."""
Pfizer;@pfizer;'New York, New York';2169988;https://www.linkedin.com/company/1185/about/;'Pfizer is a leading research-based biopharmaceutical company. We apply science and our global resources to deliver innovative therapies that extend and significantly improve lives. We make medicines and vaccines that help people when they are sick and prevent them from getting sick in the first place, as well as some of the world’s best-known consumer healthcare brands. Every day, our colleagues work in developed and emerging markets to treat, cure and eradicate life-threatening conditions and challenge some of the most feared diseases of our time. Pfizer also collaborates with healthcare providers, governments and local communities to support and expand access to reliable, affordable healthcare around the world. For more than 150 years, Pfizer has worked to make a difference for all who rely on us. To learn more, visit www.pfizer.com.  \nFor additional information on our guidelines, please visit  http://www.pfizer.com/community-guidelines'
GE;@generalelectric;'Boston, MA';2297098;https://www.linkedin.com/company/1015/about/;'GE drives the world forward by tackling its biggest challenges: Energy, health, transportation—the essentials of modern life. By combining world-class engineering with software and analytics, GE helps the world work more efficiently, reliably, and safely. For more than 125 years, GE has invented the future of industry, and today it leads new paradigms in additive manufacturing, materials science, and data analytics. GE people are global, diverse and dedicated, operating with the highest integrity and passion to fulfill GE’s mission and deliver for our customers. www.ge.com'
Citi;@Citi;'New York, New York';1759005;https://www.linkedin.com/company/11448/about/;"""Citi's mission is to serve as a trusted partner to our clients by responsibly providing financial services that enable growth and economic progress. Our core activities are safeguarding assets, lending money, making payments and accessing the capital markets on behalf of our clients. We have 200 years of experience helping our clients meet the world's toughest challenges and embrace its greatest opportunities. We are Citi, the global bank – an institution connecting millions of people across hundreds of countries and cities.\n\nFor information on Citi’s commitment to privacy, visit on.citi/privacy."""
Chevron;@Chevron;'San Ramon, CA';1776144;https://www.linkedin.com/company/2192/about/;'We’re one of the world’s leading integrated energy companies producing safe, reliable energy now and for the future. Our success is driven by our people and their commitment to getting results the right way – by operating responsibly, executing with excellence, applying innovative technologies and capturing new opportunities for profitable growth.'
